bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,exclude,"IC1: Met. The abstract explicitly defines and centers the work on Digital Building Twins (DBTs), describing their understanding of a DBT and positioning project contributions within the DBT context. IC2: Met. The abstract clearly states that Semantic Web technologies are used to provide 'explainable decision-support' within the DBT context, indicating an explicit focus on explainability. IC3: Not met. The abstract does not explicitly define any human roles (e.g., operator, decision-maker) nor does it state human-in-the-loop/on-the-loop or human-centered interaction mechanisms as part of the system. The phrase 'decision-support' is insufficient without concrete, explicit mention of human involvement. Because IC3 is not explicitly satisfied, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:44:49.822717,12.425934076309204
rayyan-471934424,A DT framework integrating human and artificial intelligence for power consumption prediction in CNC machining,exclude,"IC1 satisfied: The abstract explicitly presents a human-centric digital twin (HCDT) framework for a CNC milling machine, adhering to ISO 23247, making DT the central concept. IC2 not satisfied: While it mentions the 'addition of explainability to the result' to develop trustworthiness, it provides no explicit details of the explainability/XAI mechanism (e.g., specific methods, how implemented, or evaluated) within the DT context; the statement is vague and lacks clear, unambiguous discussion. IC3 not satisfied: The abstract does not explicitly define human roles (e.g., operator, decision-maker) or describe human-in-the-loop/on-the-loop interaction mechanisms; the phrase 'incorporates human intelligence' is insufficient without concrete role or interaction details. Because IC2 and IC3 are not explicitly supported, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:45:01.530786,11.70604133605957
rayyan-471934763,Digital Twins for Monitoring Neuromotor Development in Preterm Infants: Conceptual Framework and Proof-of-concept Study,exclude,"IC1: Satisfied. The Digital Twin is central and defining; the abstract explicitly presents a DT-based framework with details on the DT ecosystem, internal model, and engine, and a proof-of-concept application. IC2: Satisfied. The abstract explicitly proposes technology-based interpretative metrics within the DT framework and describes integration of AI methods for analysis, addressing interpretability within the DT context. IC3: Not satisfied. The abstract does not explicitly define human roles (e.g., clinician, operator) nor does it describe human-in-the-loop/on-the-loop mechanisms or any human-centered interaction within the system architecture or evaluation. Mentions of potential clinical impact and usability are aspirational and do not constitute explicit human-role specification. Because IC3 is missing, the article must be excluded per Phase 3 rules.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:45:11.592093,10.05964708328247
rayyan-471934923,Digital twins as self-models for intelligent structures,exclude,"IC1 satisfied: The work centers on a 'digital twin self-model' and repeatedly refers to a digital twin architecture as the core system for an intelligent structure. IC3 satisfied: Human interaction is explicit—agents can collaborate with a human user; users visualize the knowledge graph via a web-based UI and submit natural language queries, indicating a human-in-the-loop setup. IC2 not satisfied: While the system includes knowledge graph visualization and RAG-based query responses, the abstract does not explicitly frame these as explainability, interpretability, transparency, or XAI mechanisms, nor does it claim to propose, implement, evaluate, or analyze such mechanisms. Given the requirement for explicit XAI/interpretability within the digital twin context, evidence is insufficient. Therefore, the article is excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:45:25.316053,13.720585823059082
rayyan-471935266,A digital twin model for grain enterprise financial shared service centers based on distributed deep learning and neural symbolic reasoning,exclude,"IC1 satisfied: The abstract explicitly presents a 'comprehensive digital twin model' as the core of the work and reports its deployment in financial shared service centers, confirming DT is central. IC2 satisfied: It clearly integrates explainability via neural symbolic reasoning with knowledge graphs and rule-based inference for 'interpretable decision support' within the DT architecture. IC3 not satisfied: The abstract does not explicitly define any human roles (e.g., operator, analyst, decision-maker) nor does it describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms as part of the system architecture or evaluation. Given the Phase 3 rule that all criteria must be explicitly supported, the article is excluded due to missing IC3.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:45:37.236723,11.917281866073608
rayyan-471935267,Digital twin based deep learning framework for personalized thermal comfort prediction and energy efficient operation in smart buildings,exclude,"IC1 is explicitly satisfied: the work introduces a 'Digital Twin-driven framework' and states the Digital Twin 'enables the real-time simulation of indoor environments and occupant responses,' indicating DT is a central and defining element. IC2 is explicitly satisfied: the abstract states that XAI techniques (SHAP, LIME) and an attention mechanism are integrated to enhance transparency and interpretability within the proposed DT-driven framework. IC3 is not satisfied: the abstract does not explicitly define any human roles (e.g., operator, decision-maker, analyst) nor does it describe human-in-the-loop/on-the-loop interactions, interfaces, or human-centered evaluation; being 'occupant-centric' and using occupant data does not constitute explicit human roles or interaction mechanisms. Per the Phase 3 rule that all criteria must be clearly and explicitly supported, the absence of explicit human roles/interaction requires exclusion.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:45:47.866852,10.629109144210815
rayyan-471935276,Towards Evolving Actor–Network Ontologies: Enabling Reflexive Digital Twins for Cultural Heritage,exclude,"IC1: Satisfied. The abstract positions evolving actor–network ontologies as a new paradigm for cultural digital twins and proposes a five-layer architecture for reflexive digital twins, indicating Digital Twin is central. IC2: Not satisfied. While the abstract claims the approach provides a 'transparent and interpretable framework,' it does not explicitly propose, implement, evaluate, or formally analyze specific explainability/interpretability mechanisms within the digital twin context; the XAI aspects are asserted but not concretely described. IC3: Not satisfied. The abstract mentions heterogeneous actors and patterns like 'expert erosion,' but it does not explicitly define human roles (e.g., curator, operator, decision-maker) nor describe human-in-the-loop/on-the-loop mechanisms as part of the architecture or evaluation. Under the Phase 3 rule, any missing or ambiguous criterion requires exclusion; therefore, exclude.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:46:03.751923,15.88199496269226
rayyan-471935277,Engineering-Oriented Explainable Machine Learning and Digital Twin Framework for Sustainable Dairy Production and Environmental Impact Optimisation,exclude,"IC1: Satisfied. The work positions a Digital Twin as central, stating predictive models are integrated into a 'digital twin platform' that enables real-time simulation, scenario testing, and optimization, and the framework title explicitly includes 'Digital Twin'. IC2: Satisfied. The abstract explicitly implements explainability via 'SHAP-based explainability' within the proposed framework to support decision-making. IC3: Not satisfied. The abstract does not explicitly define human roles (e.g., farmer, operator, decision-maker) nor describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms; it only mentions generic 'decision support' and 'actionable insights' without specifying human interaction. Because IC3 is missing, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:46:14.281656,10.52647590637207
rayyan-471935278,PINN-DT: Optimizing Energy Consumption in Smart Building Using Hybrid Physics-Informed Neural Networks and Digital Twin Framework with Blockchain Security,exclude,"IC1 (Digital Twin central): Satisfied. The title and abstract position a Digital Twin framework as a core component; DRL agents are trained using data from digital twins to optimize energy in real time, indicating DT is central to the system. IC2 (Explainability/XAI within DT context): Satisfied. The abstract explicitly states that Physics-Informed Neural Networks embed physical laws to ensure model interpretability within the integrated DT–DRL–PINN framework, constituting a clear XAI mechanism in the DT-enabled system. IC3 (Explicit human roles or HITL/HOTL): Not satisfied. While the abstract mentions user preferences and a user comfort index, it does not explicitly define human roles (e.g., operator, decision-maker) nor does it describe human-in-the-loop/on-the-loop mechanisms or concrete human–system interactions as part of the architecture or evaluation. Because IC3 is missing and all criteria must be met, the article is excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:46:24.678634,10.393955945968628
rayyan-471935283,Ontology-Driven Digital Twin Framework for Aviation Maintenance and Operations,exclude,"IC1: Satisfied. The abstract centers on a 'novel ontology-driven digital twin framework' for aviation maintenance and operations, formally defines the digital twin as a 6-tuple, and details its components (ontologies, semantic engines, reasoning), making Digital Twin a central and defining concept. IC2: Satisfied. The abstract explicitly addresses explainability within the DT context: 'explainable decision support,' 'transparent, traceable reasoning,' 'explainable inference capabilities,' 'causal reasoning,' and 'rule-based validation' are clearly stated as integral features of the proposed DT framework. IC3: Not satisfied. The abstract does not explicitly define any human roles (e.g., maintenance engineer, operator) nor does it describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms as part of the system architecture or evaluation. References to 'decision support' and regulatory compliance are insufficient without explicit human role or interaction details. Because all three criteria must be explicitly met and IC3 is missing, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase3,2026-03-10T20:46:33.273548,8.591123819351196
