bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934058,Multiscale Modeling Meets Machine Learning: What Can We Learn?,exclude,"The article is a review on combining machine learning with multiscale modeling in biomedical sciences and does not mention Digital Twins or related human-centered/explainability aspects. It is also a secondary study (explicitly a review), which meets EC3. Therefore, it clearly violates EC1 and EC3.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:46:38.743895,7.863218069076538
rayyan-471934059,"Core, intertwined, and ecosystem-specific clusters in platform ecosystems: analyzing similarities in the digital transformation of the automotive, blockchain, financial, insurance and IIoT industry",exclude,"Fails IC1: Digital Twins are not discussed. The article addresses platform ecosystems and digital transformation across industries (automotive, blockchain, financial, insurance, IIoT) with conceptual modeling and cluster analysis, with no mention of Digital Twins or explainability/human interaction in a DT context. Clearly meets EC1 (unrelated to Digital Twins).",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:46:46.235870,7.4719626903533936
rayyan-471934060,Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,exclude,"The article focuses on cyber-physical systems, product-driven control, and hardware-in-the-loop simulation without any mention of Digital Twins. It also does not reference explainability, transparency, or human interaction aspects. Therefore, it clearly violates IC1 and meets EC1 (unrelated to Digital Twins).",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:46:53.742764,7.447846174240112
rayyan-471934061,Semantics for linking data from 4D BIM to digital collaborative support,exclude,"The article focuses on ontology for 4D BIM and synchronous collaborative sessions using a multiuser touch table, with no mention of Digital Twins. Despite human interaction aspects, it does not discuss Digital Twins as a relevant or central concept, thus failing IC1 and meeting EC1 (unrelated to Digital Twins).",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:03.112949,9.366183280944824
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,maybe,"The article presents a 'Digital Proxy' for a bioreactor that integrates real-time sensor data for monitoring and decision support, which is conceptually similar to a Digital Twin. It explicitly mentions human-in-the-loop management (reducing frequency of human interventions), satisfying the human interaction aspect. However, it does not explicitly frame the system as a Digital Twin or discuss explainability per se. Given Phase 1’s high-recall aim and potential relevance, mark as maybe.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:12.367857,9.251857280731201
rayyan-471934063,"Framework for developing alternative reality environments to engineer large, complex systems",exclude,"The article proposes an XR framework for engineering design and human sensory experiences but does not mention or relate to Digital Twins. It fails IC1 and is clearly unrelated to Digital Twins (EC1), despite including human-centered aspects.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:21.336722,8.966332197189331
rayyan-471934064,What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,exclude,"The article is a systematic literature review (secondary study) on Construction 4.0, which falls under EC3 (secondary studies are excluded). Additionally, the abstract does not indicate Digital Twins as a central concept or discuss explainability/human interaction aspects.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:27.006456,5.666693687438965
rayyan-471934065,Opportunities in intelligent modeling assistance,exclude,"The article focuses on intelligent modeling assistants and a conceptual reference framework for modeling, with no mention of Digital Twins. It fails IC1 and is clearly unrelated to Digital Twins (EC1), despite discussing human-centered aspects.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:32.333714,5.325232028961182
rayyan-471934066,Moral control and ownership in AI systems,exclude,"The article focuses on AI ethics, moral agency, and general AI system architectures without any mention or clear relevance to Digital Twins. It fails IC1 (Digital Twin relevance). Despite discussing human control and traceability, EC1 applies as it is clearly unrelated to Digital Twins.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:40.406337,8.069578886032104
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",maybe,"Digital Twin is relevant (used to verify object poses with physics simulation), and the abstract mentions explainability/trust needs for robots. However, it is unclear whether the explainability aspects are directly linked to the Digital Twin component and whether the article is a primary study or an overview/survey. Given Phase 1’s high-recall objective, retain as potentially relevant.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:47:58.842910,18.433536052703857
rayyan-471934068,Simple machine learning allied with data-driven methods for monitoring tool wear in machining processes,exclude,"EC1: The article does not mention or discuss Digital Twins; it focuses on machine learning for tool wear monitoring in machining processes. There is also no indication of explainability, transparency, or human-interaction aspects.",gpt-5-petrobras,PromptBuilderPhase1,2026-03-10T15:48:03.599000,4.753036737442017
