bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,exclude,"IC1 not met: the abstract centers on a “Digital Proxy” for a bioreactor and does not explicitly frame the work as a Digital Twin. IC2 not met: there is no explicit discussion of explainability/interpretability/transparency/XAI mechanisms. IC3 is only indirectly referenced (“may help reduce the frequency of human-in-the-loop corrective management actions”) but without an explicit human role/interaction design description. With IC1 and IC2 missing explicitly, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:12.171397,3.9017274379730225
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",exclude,"IC1 not met: the abstract mentions using “a digital twin and physics simulation” only as a tool to verify object poses, but does not present a Digital Twin as a central architecture/system/framework. IC2 not met: while it states robots need to “explain what they are doing to be trusted,” it does not explicitly propose or evaluate any explainability/XAI mechanism, nor tie such mechanisms to the Digital Twin. IC3 not met: there is no explicit definition of human roles (operator/decision-maker) or human-in/on-the-loop interaction mechanism in the described system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:15.280633,3.1072189807891846
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis",exclude,"IC1 is explicitly satisfied: the paper presents MFIN as a framework enabling a “digital twin description” and describes lifecycle data integration. However, IC2 is not satisfied: the abstract contains no explicit mention of explainability/interpretability/transparency/XAI mechanisms in the Digital Twin context. IC3 is also not satisfied: no explicit human roles (operator/decision-maker) or human-in-the-loop/on-the-loop interaction mechanisms are described. The abstract focuses on data exchange and physics-based downstream analysis/prognosis (aligning with EC2).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:17.838819,2.5561647415161133
rayyan-471934075,An Agent-Based Digital Twin for Exploring Localized Non-pharmaceutical Interventions to Control COVID-19 Pandemic,exclude,"IC1 is explicitly satisfied: the paper develops an agent-based simulation that “serves as a virtual representation, i.e., a digital twin” of a city. However, IC2 is not satisfied: the abstract contains no explicit mention of explainability/interpretability/transparency/XAI mechanisms within the digital twin. IC3 is also not explicitly satisfied: while it mentions “what-if scenarios of interest” and decision-support trade-offs, it does not define human roles (operator/decision-maker) or describe any human-in-the-loop/on-the-loop interaction mechanism. This matches EC2 (digital twin simulation/prediction focus without explicit explainability or human-related mechanisms).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:20.926226,3.085390567779541
rayyan-471934077,Molecular function recognition by supervised projection pursuit machine learning,exclude,"IC1 is only weakly supported: the abstract mentions 'digital twin molecular dynamics simulations' as a paired data source, but does not present a digital twin as a central architecture/system/framework. IC2 is not explicitly satisfied: there is no mention of explainability/interpretability/transparency/XAI mechanisms in the digital twin context (feature extraction/selection and hypothesis generation are not framed as XAI). IC3 is not satisfied: no human roles or human-in-the-loop/centered interaction are described. This matches EC2 (focus on simulation/ML without explicit explainability or human-related aspects).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:23.564555,2.63629150390625
rayyan-471934087,Cyber-Physical Loops as Drivers of Value Creation in NDE 4.0,exclude,"IC2 is not satisfied: the abstract does not explicitly propose or discuss any explainability/interpretability/transparency/XAI mechanism in a Digital Twin context. Digital Twin is only mentioned as part of a broader “Cyber-Physical Loop” overview (IC1 not clearly central), and while multiple stakeholder groups are listed, there is no explicit human-in-the-loop/on-the-loop or human-centered interaction mechanism described (IC3 not satisfied).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:25.803934,2.2383580207824707
rayyan-471934096,Corporate digital responsibility (CDR) in construction engineering—ethical guidelines for the application of digital transformation and artificial intelligence (AI) in user practice,exclude,"IC1 not met: Digital twins are only mentioned as an example of digitization (“for instance digital twins”), not as a central architecture/system/framework. IC2 not met: the abstract discusses ethical guidelines and “trustworthy/human-friendly AI” but does not explicitly propose or discuss XAI/explainability/interpretability/transparency mechanisms in a Digital Twin context. IC3 not met: while it mentions “demarcation between machine and human intelligence,” it does not explicitly define human roles (operator/decision-maker) or describe human-in-the-loop/on-the-loop interaction mechanisms as part of a system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:28.629096,2.8241496086120605
rayyan-471934098,Product design lifecycle information model (PDLIM),exclude,"IC1 not met: the central contribution is a Product Design Lifecycle Information Model (PDLIM); digital twin is only mentioned as having potential to support lifecycle information collection/management, not as the core architecture/framework. IC2 not met: the abstract contains no explicit explainability/interpretability/transparency/XAI mechanisms in any digital twin context. IC3 not met: while “human-centred” and “design interaction scenarios” are mentioned, there is no explicit definition of human roles (operator/decision-maker) nor explicit human-in/on-the-loop mechanisms as part of a DT system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:33.288674,4.657546520233154
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,maybe,"IC1 is explicitly satisfied: the paper’s contributions are stated as being regarding “Digital Building Twins,” and it provides an explicit understanding/definition of a DBT. IC2 is explicitly satisfied: it states Semantic Web technologies allow “providing explainable decision-support.” However, IC3 is not explicitly satisfied in the abstract: no specific human roles (e.g., operator/decision-maker) or explicit human-in-the-loop/on-the-loop interaction mechanisms are described—only “decision-support” is mentioned without identifying the human user or interaction model.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:35.879884,2.5901870727539062
rayyan-471934104,Pipeline for ontology-based modeling and automated deployment of digital twins for planning and control of manufacturing systems,exclude,"IC1 is satisfied: the paper centrally proposes an end-to-end pipeline for ontology-based modeling and automated deployment of Digital Twins for manufacturing planning/control. However, IC2 is not explicitly satisfied: the abstract discusses standardization, interoperability, workflow automation, and says the pipeline is 'transparently explained', but does not propose or discuss explainability/interpretability/XAI mechanisms within the Digital Twin. IC3 is also not explicitly satisfied: while a use case includes 'manual stations' and resources, no human roles (operator/decision-maker) or human-in-the-loop/on-the-loop interaction mechanisms are described as part of the system. With required criteria missing, the article is excluded.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-03-18T16:32:39.143519,3.2625598907470703
